ID,SKU,name,description,current_price,current_stock,status,creation_date,last_update
1,PROD-001,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,6035.78,23,1,2026-09-18 19:51:53,2026-09-18 20:08:53
2,PROD-002,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,6029.07,42,1,2026-09-18 00:01:07,2026-09-18 01:16:07
3,PROD-003,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla S, Color Blanco)",850.22,87,1,2026-09-17 15:13:19,2026-09-17 16:24:19
4,PROD-004,Monitor UltraGear 27,Monitor de alta frecuencia de actualización para juegos competitivos,8325.64,42,1,2026-09-19 03:52:19,2026-09-19 05:35:19
5,PROD-005,Apple Watch Series 10,Reloj inteligente con sensores avanzados de salud y actividad física,12578.89,14,1,2026-09-18 18:42:53,2026-09-18 20:19:53
6,PROD-006,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla XL, Color Negro)",1121.81,54,1,2026-09-21 03:16:53,2026-09-21 03:49:53
7,PROD-007,Robot Aspiradora X10+,Aspiradora robótica con estación de vaciado automático y mapeo láser,4931.33,29,1,2026-09-17 22:50:00,2026-09-18 00:00:00
8,PROD-008,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla L, Color Rojo)",763.42,18,1,2026-09-17 18:01:52,2026-09-17 19:25:52
9,PROD-009,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,30863.78,11,1,2026-09-19 18:43:02,2026-09-19 19:18:02
10,PROD-010,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla M, Color Gris)",1113.83,95,1,2026-09-19 02:14:20,2026-09-19 03:43:20
11,PROD-011,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,5225.83,42,1,2026-09-21 21:32:39,2026-09-21 22:03:39
12,PROD-012,Smart Band 8,Pulsera de actividad física con seguimiento del sueño y deporte,10083.15,45,1,2026-09-21 15:34:42,2026-09-21 16:45:42
13,PROD-013,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,8631.21,7,1,2026-09-22 08:36:02,2026-09-22 09:16:02
14,PROD-014,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla M, Color Rojo)",2234.19,50,1,2026-09-18 18:19:24,2026-09-18 19:42:24
15,PROD-015,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla M, Color Gris)",650.21,81,1,2026-09-20 17:51:06,2026-09-20 18:24:06
16,PROD-016,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3151.17,16,1,2026-09-20 13:33:45,2026-09-20 14:36:45
17,PROD-017,Smartphone Galaxy S26+ 256GB,Teléfono inteligente con procesador de última generación y batería de larga duración - Color Verde,6179.36,48,1,2026-09-20 00:50:20,2026-09-20 02:06:20
18,PROD-018,Smart Band 8,Pulsera de actividad física con seguimiento del sueño y deporte,21654.04,34,1,2026-09-20 16:24:55,2026-09-20 16:56:55
19,PROD-019,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,5877.49,51,1,2026-09-20 17:33:34,2026-09-20 19:09:34
20,PROD-020,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla S, Color Gris)",1284.75,68,1,2026-09-17 11:49:48,2026-09-17 13:21:48
21,PROD-021,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,4258.38,14,1,2026-09-21 06:25:24,2026-09-21 07:03:24
22,PROD-022,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,3241.75,18,1,2026-09-20 17:54:36,2026-09-20 19:33:36
23,PROD-023,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,2863.59,9,1,2026-09-18 03:38:57,2026-09-18 05:36:57
24,PROD-024,Zapatillas Air Max 270,"Calzado deportivo con cápsula de aire visible para máxima comodidad (Talla S, Color Blanco)",2237.72,20,1,2026-09-17 23:49:54,2026-09-18 01:22:54
25,PROD-025,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla M, Color Verde)",1371.86,80,1,2026-09-18 11:24:21,2026-09-18 11:57:21
26,PROD-026,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,7459.74,56,1,2026-09-21 21:39:41,2026-09-21 23:07:41
27,PROD-027,Smart TV Bravia XR OLED 55,Televisor OLED con negros absolutos y procesador de imagen cognitivo,35827.80,46,1,2026-09-19 17:44:26,2026-09-19 18:40:26
28,PROD-028,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,2284.08,12,1,2026-09-19 12:35:41,2026-09-19 12:37:41
29,PROD-029,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,2073.65,12,1,2026-09-21 18:26:39,2026-09-21 19:46:39
30,PROD-030,iPhone 16 Pro 128GB,Teléfono inteligente premium con chip de alto rendimiento y triple cámara - Color Gris,3015.44,20,1,2026-09-19 03:54:49,2026-09-19 05:19:49
31,PROD-031,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla XL, Color Blanco)",2036.93,62,1,2026-09-18 15:05:16,2026-09-18 15:17:16
32,PROD-032,Patinete Eléctrico Pro 4,Scooter eléctrico con gran autonomía para movilidad urbana,15537.04,34,1,2026-09-21 21:32:12,2026-09-21 21:38:12
33,PROD-033,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,3459.92,29,1,2026-09-22 07:57:08,2026-09-22 09:47:08
34,PROD-034,MacBook Pro 16 M3 256GB,Computadora portátil profesional para edición de video y desarrollo - Color Rojo,16425.78,32,1,2026-09-18 14:04:47,2026-09-18 14:39:47
35,PROD-035,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla XL, Color Rojo)",560.50,93,1,2026-09-20 18:05:10,2026-09-20 19:52:10
36,PROD-036,Smartphone Galaxy Z Fold 6 256GB,Teléfono plegable con pantalla gigante para productividad y multitarea - Color Azul,17740.26,18,1,2026-09-19 21:45:47,2026-09-19 23:40:47
37,PROD-037,Apple Watch Series 10,Reloj inteligente con sensores avanzados de salud y actividad física,576.52,29,1,2026-09-19 01:58:49,2026-09-19 03:56:49
38,PROD-038,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla XL, Color Blanco)",758.28,37,1,2026-09-17 19:52:29,2026-09-17 21:06:29
39,PROD-039,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,2783.40,11,1,2026-09-21 00:26:04,2026-09-21 01:27:04
40,PROD-040,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,7701.92,13,1,2026-09-18 14:25:12,2026-09-18 14:33:12
41,PROD-041,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,6949.83,33,1,2026-09-18 04:49:02,2026-09-18 06:49:02
42,PROD-042,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,4918.35,47,1,2026-09-17 23:17:49,2026-09-18 00:10:49
43,PROD-043,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,1952.37,53,1,2026-09-19 09:06:49,2026-09-19 09:36:49
44,PROD-044,Zapatillas Air Max 270,"Calzado deportivo con cápsula de aire visible para máxima comodidad (Talla L, Color Azul)",1029.78,19,1,2026-09-17 12:42:50,2026-09-17 13:40:50
45,PROD-045,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,4486.02,40,1,2026-09-19 01:58:48,2026-09-19 02:14:48
