ID,SKU,name,description,current_price,current_stock,status,creation_date,last_update
8,PROD-008,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,6035.78,23,1,2026-09-18 21:37:01,2026-09-18 21:54:01
9,PROD-009,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,6029.07,42,1,2026-09-18 01:46:15,2026-09-18 03:01:15
10,PROD-010,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla S, Color Blanco)",850.22,87,1,2026-09-17 16:58:27,2026-09-17 18:09:27
11,PROD-011,Monitor UltraGear 27,Monitor de alta frecuencia de actualización para juegos competitivos,8325.64,42,1,2026-09-19 05:37:27,2026-09-19 07:20:27
12,PROD-012,Apple Watch Series 10,Reloj inteligente con sensores avanzados de salud y actividad física,12578.89,14,1,2026-09-18 20:28:01,2026-09-18 22:05:01
13,PROD-013,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla XL, Color Negro)",1121.81,54,1,2026-09-21 05:02:01,2026-09-21 05:35:01
14,PROD-014,Robot Aspiradora X10+,Aspiradora robótica con estación de vaciado automático y mapeo láser,4931.33,29,1,2026-09-18 00:35:08,2026-09-18 01:45:08
15,PROD-015,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla L, Color Rojo)",763.42,18,1,2026-09-17 19:47:00,2026-09-17 21:11:00
16,PROD-016,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,30863.78,11,1,2026-09-19 20:28:10,2026-09-19 21:03:10
17,PROD-017,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla M, Color Gris)",1113.83,95,1,2026-09-19 03:59:28,2026-09-19 05:28:28
18,PROD-018,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,5225.83,42,1,2026-09-21 23:17:47,2026-09-21 23:48:47
19,PROD-019,Smart Band 8,Pulsera de actividad física con seguimiento del sueño y deporte,10083.15,45,1,2026-09-21 17:19:50,2026-09-21 18:30:50
20,PROD-020,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,8631.21,7,1,2026-09-22 10:21:10,2026-09-22 11:01:10
21,PROD-021,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla M, Color Rojo)",2234.19,50,1,2026-09-18 20:04:32,2026-09-18 21:27:32
22,PROD-022,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla M, Color Gris)",650.21,81,1,2026-09-20 19:36:14,2026-09-20 20:09:14
23,PROD-023,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3151.17,16,1,2026-09-20 15:18:53,2026-09-20 16:21:53
24,PROD-024,Smartphone Galaxy S26+ 256GB,Teléfono inteligente con procesador de última generación y batería de larga duración - Color Verde,6179.36,48,1,2026-09-20 02:35:28,2026-09-20 03:51:28
25,PROD-025,Smart Band 8,Pulsera de actividad física con seguimiento del sueño y deporte,21654.04,34,1,2026-09-20 18:10:03,2026-09-20 18:42:03
26,PROD-026,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,5877.49,51,1,2026-09-20 19:18:42,2026-09-20 20:54:42
27,PROD-027,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla S, Color Gris)",1284.75,68,1,2026-09-17 13:34:56,2026-09-17 15:06:56
28,PROD-028,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,4258.38,14,1,2026-09-21 08:10:32,2026-09-21 08:48:32
29,PROD-029,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,3241.75,18,1,2026-09-20 19:39:44,2026-09-20 21:18:44
30,PROD-030,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,2863.59,9,1,2026-09-18 05:24:05,2026-09-18 07:22:05
31,PROD-031,Zapatillas Air Max 270,"Calzado deportivo con cápsula de aire visible para máxima comodidad (Talla S, Color Blanco)",2237.72,20,1,2026-09-18 01:35:02,2026-09-18 03:08:02
32,PROD-032,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla M, Color Verde)",1371.86,80,1,2026-09-18 13:09:29,2026-09-18 13:42:29
33,PROD-033,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,7459.74,56,1,2026-09-21 23:24:49,2026-09-22 00:52:49
34,PROD-034,Smart TV Bravia XR OLED 55,Televisor OLED con negros absolutos y procesador de imagen cognitivo,35827.80,46,1,2026-09-19 19:29:34,2026-09-19 20:25:34
35,PROD-035,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,2284.08,12,1,2026-09-19 14:20:49,2026-09-19 14:22:49
36,PROD-036,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,2073.65,12,1,2026-09-21 20:11:47,2026-09-21 21:31:47
37,PROD-037,iPhone 16 Pro 128GB,Teléfono inteligente premium con chip de alto rendimiento y triple cámara - Color Gris,3015.44,20,1,2026-09-19 05:39:57,2026-09-19 07:04:57
38,PROD-038,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla XL, Color Blanco)",2036.93,62,1,2026-09-18 16:50:24,2026-09-18 17:02:24
39,PROD-039,Patinete Eléctrico Pro 4,Scooter eléctrico con gran autonomía para movilidad urbana,15537.04,34,1,2026-09-21 23:17:20,2026-09-21 23:23:20
40,PROD-040,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,3459.92,29,1,2026-09-22 09:42:16,2026-09-22 11:32:16
41,PROD-041,MacBook Pro 16 M3 256GB,Computadora portátil profesional para edición de video y desarrollo - Color Rojo,16425.78,32,1,2026-09-18 15:49:55,2026-09-18 16:24:55
42,PROD-042,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla XL, Color Rojo)",560.50,93,1,2026-09-20 19:50:18,2026-09-20 21:37:18
43,PROD-043,Smartphone Galaxy Z Fold 6 256GB,Teléfono plegable con pantalla gigante para productividad y multitarea - Color Azul,17740.26,18,1,2026-09-19 23:30:55,2026-09-20 01:25:55
44,PROD-044,Apple Watch Series 10,Reloj inteligente con sensores avanzados de salud y actividad física,576.52,29,1,2026-09-19 03:43:57,2026-09-19 05:41:57
45,PROD-045,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla XL, Color Blanco)",758.28,37,1,2026-09-17 21:37:37,2026-09-17 22:51:37
46,PROD-046,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,2783.40,11,1,2026-09-21 02:11:12,2026-09-21 03:12:12
47,PROD-047,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,7701.92,13,1,2026-09-18 16:10:20,2026-09-18 16:18:20
48,PROD-048,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,6949.83,33,1,2026-09-18 06:34:10,2026-09-18 08:34:10
